book_id,user_id
169413,afc070543f19028dc7e7f084a0079f72
169413,4672eb229c808b792b8ea95f01f19784
11254250,972db32297c2b02db61cb0d3666081f7
22747840,a34e60cb88cea96fd767a9db81f6f5c8
494748,a34e60cb88cea96fd767a9db81f6f5c8
31835842,559d843b319087e12f48282e386e401f
511527,cd6522e9018f2f77332ec74f928f8c45
10335419,cd6522e9018f2f77332ec74f928f8c45
735365,cd6522e9018f2f77332ec74f928f8c45
11254250,eff298924b4d17f380b07ec9da8ac500
11254250,75b3e366826a2872a4ac2541151a347f
122884,b7dbd4518192923079be19c74e049608
6469790,dea5bda3eaee375c4ab59fd399bc37db
355585,dea5bda3eaee375c4ab59fd399bc37db
11254250,97466e9bcc6b443344f06aa6ae144286
6389704,a61ed781e6722c23306fb73d45eb8ecc
821099,0757e6c8076682b47d9d4dcebb6db776
839564,ced7b8e0a3340e8af27f2663f442c3bb
6389704,fc40e92613e282a797633316d224192b
6389704,f450e00c849e65dbf4ce08bbbda40079
80680,c62edfa8814a94a07e931815540a63db
171230,eea1bd2c68fd7c24fb20d3ac3335f30f
27414439,7156bb3227289572cd5cd1fbea441dee
11254250,34216df2a5f3846b17e3f96bea6c2ad7
6389704,aa9d5b0dda4811290c0520e70855fd23
371125,b6eb81c5d09dfe232397ced641e67993
31247841,d1e368a7d2870eb6fbf6e0d350568a2d
23848144,d1e368a7d2870eb6fbf6e0d350568a2d
22747813,d1e368a7d2870eb6fbf6e0d350568a2d
4279662,d1e368a7d2870eb6fbf6e0d350568a2d
690955,d1e368a7d2870eb6fbf6e0d350568a2d
1174294,a4f283aafe153b1997dc6a9fcd2e8e58
690955,a4f283aafe153b1997dc6a9fcd2e8e58
397637,a4f283aafe153b1997dc6a9fcd2e8e58
11903,753746d5d26fea030b33299b34ea1299
690955,753746d5d26fea030b33299b34ea1299
2965090,753746d5d26fea030b33299b34ea1299
122125,753746d5d26fea030b33299b34ea1299
821099,753746d5d26fea030b33299b34ea1299
656457,753746d5d26fea030b33299b34ea1299
262054,753746d5d26fea030b33299b34ea1299
295663,6b2bda0cb60d31843613b45ad228311c
23848144,bda576847fc8af9494d83d73bb8fea96
13202090,bda576847fc8af9494d83d73bb8fea96
16174916,bda576847fc8af9494d83d73bb8fea96
15864322,bda576847fc8af9494d83d73bb8fea96
16225459,bda576847fc8af9494d83d73bb8fea96
15798653,bda576847fc8af9494d83d73bb8fea96
16074533,bda576847fc8af9494d83d73bb8fea96
12559676,bda576847fc8af9494d83d73bb8fea96
15842732,bda576847fc8af9494d83d73bb8fea96
15927564,bda576847fc8af9494d83d73bb8fea96
15814494,bda576847fc8af9494d83d73bb8fea96
1388081,bda576847fc8af9494d83d73bb8fea96
3998670,bda576847fc8af9494d83d73bb8fea96
10594678,bda576847fc8af9494d83d73bb8fea96
1223119,bda576847fc8af9494d83d73bb8fea96
9989533,d0aa4e95e3600a44d932c1bb7aba6d86
1997146,d0aa4e95e3600a44d932c1bb7aba6d86
371125,6c45e8df9297718b84cffd2c455191bc
170668,eadf8c06370d9c6fd74121723c8d20e3
770614,f382f2ad23365badd0de4aca77161eea
6469790,8ad7187701987b16e44f27088f25f69c
6771441,e16adab6e3efb3734cabfddde0628b64
821099,d7ea4b6be0e39ece6b5a586153e5fd7d
1060790,6e7c55e550088f272b8a39a0f5e30b30
15989343,12f00f3694be5d8edc537bdae053fec0
690955,80d52f5e70f023bd0098ab96599a3530
25176892,485d5baab27ffbd3825c3056de9dcd9f
122125,485d5baab27ffbd3825c3056de9dcd9f
2832782,485d5baab27ffbd3825c3056de9dcd9f
1403551,485d5baab27ffbd3825c3056de9dcd9f
10246781,485d5baab27ffbd3825c3056de9dcd9f
122125,86d9e5b4d5f1fd3c8968ba71d1822d99
11903,b42835e0335b800c8eeeaecc6e4dc210
7598284,76e5d2d4885947e0de8a134fc1b7f619
121408,47e063740482b4217e3a84c0f3c06d08
337789,a52e4f0be950358411d42ef23fbea04c
511527,c2e9c4efd53aaecf50ff506de091cd73
11254250,2a102df56767f527dcaeefbcf260d198
122884,929a4e7e4eacc1aec66eb1f948ea81da
511527,dd28d8b257012e8c09b4819c81042851
11254250,f7f2e1ed6e4edce77be8ab2728bf9afd
11254250,8a1b88f0003e554e1d99bce2461c6c4e
770614,10bc578f46a0a267d047848cbfc59141
11254250,f9b3f33b83b3db1ef7a84510f4a5b151
821099,cadf1217bb2fd03b3282eeafb510f19a
295663,e9e8a9bc4141fcb875fc256ca59d539f
34734696,7320ee6c9368d2bc9e39a7281939160f
17239243,7320ee6c9368d2bc9e39a7281939160f
18317569,528f8e3516cd2f4b8184a5b6801d66a5
